"contact","CIN","current_index","difference","total","month","year"
"Sarah Stewart","12348057",22046,375,187.5,4,2024
"Sarah Stewart","12348057",21671,466,233,3,2024
"Sarah Stewart","12348057",21205,461,230.5,2,2024
"Sarah Stewart","12348057",20744,509,254.5,1,2024
"Sarah Stewart","12348057",20235,386,193,12,2023
"Sarah Stewart","12348057",19849,343,171.5,11,2023
"Sarah Stewart","12348057",19506,436,218,10,2023
"Sarah Stewart","12348057",19070,565,282.5,9,2023
"Sarah Stewart","12348057",18505,571,285.5,8,2023
"Sarah Stewart","12348057",17934,371,185.5,7,2023
"Sarah Stewart","12348057",17563,316,158,6,2023
"Sarah Stewart","12348057",17247,493,246.5,5,2023
"Sarah Stewart","12348057",16754,330,165,4,2023
"Sarah Stewart","12348057",16424,522,261,3,2023
"Sarah Stewart","12348057",15902,414,207,2,2023
"Sarah Stewart","12348057",15488,569,284.5,1,2023
"Sarah Stewart","12348057",14919,493,246.5,12,2022
"Sarah Stewart","12348057",14426,435,217.5,11,2022
"Sarah Stewart","12348057",13991,401,200.5,10,2022
"Sarah Stewart","12348057",13590,413,206.5,9,2022
"Sarah Stewart","12348057",13177,457,228.5,8,2022
"Sarah Stewart","12348057",12720,321,160.5,7,2022
"Sarah Stewart","12348057",12399,516,258,6,2022
"Sarah Stewart","12348057",11883,452,226,5,2022
"Sarah Stewart","12348057",11431,541,270.5,4,2022
"Sarah Stewart","12348057",10890,598,299,3,2022
"Sarah Stewart","12348057",10292,308,154,2,2022
"Sarah Stewart","12348057",9984,375,187.5,1,2022
"Sarah Stewart","12348057",9609,430,215,12,2021
"Sarah Stewart","12348057",9179,302,151,11,2021
"Sarah Stewart","12348057",8877,430,215,10,2021
"Sarah Stewart","12348057",8447,520,260,9,2021
"Sarah Stewart","12348057",7927,355,177.5,8,2021
"Sarah Stewart","12348057",7572,331,165.5,7,2021
"Sarah Stewart","12348057",7241,396,198,6,2021
"Sarah Stewart","12348057",6845,472,236,5,2021
"Sarah Stewart","12348057",6373,392,196,4,2021
"Sarah Stewart","12348057",5981,415,207.5,3,2021
"Sarah Stewart","12348057",5566,357,178.5,2,2021
"Sarah Stewart","12348057",5209,531,265.5,1,2021
"Sarah Stewart","12348057",4678,317,158.5,12,2020
"Sarah Stewart","12348057",4361,374,187,11,2020
"Sarah Stewart","12348057",3987,369,184.5,10,2020
"Sarah Stewart","12348057",3618,421,210.5,9,2020
"Sarah Stewart","12348057",3197,459,229.5,8,2020
"Sarah Stewart","12348057",2738,305,152.5,7,2020
"Sarah Stewart","12348057",2433,568,284,6,2020
"Sarah Stewart","12348057",1865,332,166,5,2020
"Sarah Stewart","12348057",1533,392,196,4,2020
"Sarah Stewart","12348057",1141,301,150.5,3,2020
"Sarah Stewart","12348057",840,540,270,2,2020
"Sarah Stewart","12348057",300,300,150,1,2020
"Sarah King","12348056",31125,572,286,8,2025
"Sarah King","12348056",30553,563,281.5,7,2025
"Sarah King","12348056",29990,346,173,6,2025
"Sarah King","12348056",29644,558,279,5,2025
"Sarah King","12348056",29086,548,274,4,2025
"Sarah King","12348056",28538,387,193.5,3,2025
"Sarah King","12348056",28151,535,267.5,2,2025
"Sarah King","12348056",27616,507,253.5,1,2025
"Sarah King","12348056",27109,369,184.5,12,2024
"Sarah King","12348056",26740,358,179,11,2024
"Sarah King","12348056",26382,324,162,10,2024
"Sarah King","12348056",26058,541,270.5,9,2024
"Sarah King","12348056",25517,524,262,8,2024
"Sarah King","12348056",24993,386,193,7,2024
"Sarah King","12348056",24607,437,218.5,6,2024
"Sarah King","12348056",24170,499,249.5,5,2024
"Sarah King","12348056",23671,506,253,4,2024
"Sarah King","12348056",23165,334,167,3,2024
"Sarah King","12348056",22831,426,213,2,2024
"Sarah King","12348056",22405,561,280.5,1,2024
"Sarah King","12348056",21844,325,162.5,12,2023
"Sarah King","12348056",21519,369,184.5,11,2023
"Sarah King","12348056",21150,415,207.5,10,2023
"Sarah King","12348056",20735,395,197.5,9,2023
"Sarah King","12348056",20340,523,261.5,8,2023
"Sarah King","12348056",19817,337,168.5,7,2023
"Sarah King","12348056",19480,538,269,6,2023
"Sarah King","12348056",18942,340,170,5,2023
"Sarah King","12348056",18602,427,213.5,4,2023
"Sarah King","12348056",18175,564,282,3,2023
"Sarah King","12348056",17611,515,257.5,2,2023
"Sarah King","12348056",17096,599,299.5,1,2023
"Sarah King","12348056",16497,538,269,12,2022
"Sarah King","12348056",15959,500,250,11,2022
"Sarah King","12348056",15459,439,219.5,10,2022
"Sarah King","12348056",15020,418,209,9,2022
"Sarah King","12348056",14602,513,256.5,8,2022
"Sarah King","12348056",14089,467,233.5,7,2022
"Sarah King","12348056",13622,426,213,6,2022
"Sarah King","12348056",13196,302,151,5,2022
"Sarah King","12348056",12894,475,237.5,4,2022
"Sarah King","12348056",12419,591,295.5,3,2022
"Sarah King","12348056",11828,400,200,2,2022
"Sarah King","12348056",11428,302,151,1,2022
"Sarah King","12348056",11126,430,215,12,2021
"Sarah King","12348056",10696,466,233,11,2021
"Sarah King","12348056",10230,391,195.5,10,2021
"Sarah King","12348056",9839,431,215.5,9,2021
"Sarah King","12348056",9408,383,191.5,8,2021
"Sarah King","12348056",9025,575,287.5,7,2021
"Sarah King","12348056",8450,491,245.5,6,2021
"Sarah King","12348056",7959,508,254,5,2021
"Sarah King","12348056",7451,301,150.5,4,2021
"Sarah King","12348056",7150,359,179.5,3,2021
"Sarah King","12348056",6791,484,242,2,2021
"Sarah King","12348056",6307,442,221,1,2021
"Sarah King","12348056",5865,439,219.5,12,2020
"Sarah King","12348056",5426,361,180.5,11,2020
"Sarah King","12348056",5065,507,253.5,10,2020
"Sarah King","12348056",4558,505,252.5,9,2020
"Sarah King","12348056",4053,590,295,8,2020
"Sarah King","12348056",3463,524,262,7,2020
"Sarah King","12348056",2939,542,271,6,2020
"Sarah King","12348056",2397,573,286.5,5,2020
"Sarah King","12348056",1824,552,276,4,2020
"Sarah King","12348056",1272,436,218,3,2020
"Sarah King","12348056",836,536,268,2,2020
"Sarah King","12348056",300,300,150,1,2020
"Sarah Cohen","12348055",31680,560,280,8,2025
"Sarah Cohen","12348055",31120,435,217.5,7,2025
"Sarah Cohen","12348055",30685,565,282.5,6,2025
"Sarah Cohen","12348055",30120,532,266,5,2025
"Sarah Cohen","12348055",29588,394,197,4,2025
"Sarah Cohen","12348055",29194,462,231,3,2025
"Sarah Cohen","12348055",28732,376,188,2,2025
"Sarah Cohen","12348055",28356,464,232,1,2025
"Sarah Cohen","12348055",27892,496,248,12,2024
"Sarah Cohen","12348055",27396,482,241,11,2024
"Sarah Cohen","12348055",26914,441,220.5,10,2024
"Sarah Cohen","12348055",26473,434,217,9,2024
"Sarah Cohen","12348055",26039,468,234,8,2024
"Sarah Cohen","12348055",25571,592,296,7,2024
"Sarah Cohen","12348055",24979,521,260.5,6,2024
"Sarah Cohen","12348055",24458,387,193.5,5,2024
"Sarah Cohen","12348055",24071,508,254,4,2024
"Sarah Cohen","12348055",23563,484,242,3,2024
"Sarah Cohen","12348055",23079,373,186.5,2,2024
"Sarah Cohen","12348055",22706,414,207,1,2024
"Sarah Cohen","12348055",22292,333,166.5,12,2023
"Sarah Cohen","12348055",21959,426,213,11,2023
"Sarah Cohen","12348055",21533,330,165,10,2023
"Sarah Cohen","12348055",21203,538,269,9,2023
"Sarah Cohen","12348055",20665,514,257,8,2023
"Sarah Cohen","12348055",20151,515,257.5,7,2023
"Sarah Cohen","12348055",19636,389,194.5,6,2023
"Sarah Cohen","12348055",19247,506,253,5,2023
"Sarah Cohen","12348055",18741,503,251.5,4,2023
"Sarah Cohen","12348055",18238,344,172,3,2023
"Sarah Cohen","12348055",17894,372,186,2,2023
"Sarah Cohen","12348055",17522,376,188,1,2023
"Sarah Cohen","12348055",17146,443,221.5,12,2022
"Sarah Cohen","12348055",16703,385,192.5,11,2022
"Sarah Cohen","12348055",16318,533,266.5,10,2022
"Sarah Cohen","12348055",15785,531,265.5,9,2022
"Sarah Cohen","12348055",15254,549,274.5,8,2022
"Sarah Cohen","12348055",14705,478,239,7,2022
"Sarah Cohen","12348055",14227,549,274.5,6,2022
"Sarah Cohen","12348055",13678,435,217.5,5,2022
"Sarah Cohen","12348055",13243,570,285,4,2022
"Sarah Cohen","12348055",12673,409,204.5,3,2022
"Sarah Cohen","12348055",12264,482,241,2,2022
"Sarah Cohen","12348055",11782,575,287.5,1,2022
"Sarah Cohen","12348055",11207,547,273.5,12,2021
"Sarah Cohen","12348055",10660,517,258.5,11,2021
"Sarah Cohen","12348055",10143,432,216,10,2021
"Sarah Cohen","12348055",9711,428,214,9,2021
"Sarah Cohen","12348055",9283,466,233,8,2021
"Sarah Cohen","12348055",8817,531,265.5,7,2021
"Sarah Cohen","12348055",8286,416,208,6,2021
"Sarah Cohen","12348055",7870,590,295,5,2021
"Sarah Cohen","12348055",7280,510,255,4,2021
"Sarah Cohen","12348055",6770,404,202,3,2021
"Sarah Cohen","12348055",6366,547,273.5,2,2021
"Sarah Cohen","12348055",5819,557,278.5,1,2021
"Sarah Cohen","12348055",5262,522,261,12,2020
"Sarah Cohen","12348055",4740,435,217.5,11,2020
"Sarah Cohen","12348055",4305,458,229,10,2020
"Sarah Cohen","12348055",3847,452,226,9,2020
"Sarah Cohen","12348055",3395,401,200.5,8,2020
"Sarah Cohen","12348055",2994,489,244.5,7,2020
"Sarah Cohen","12348055",2505,538,269,6,2020
"Sarah Cohen","12348055",1967,315,157.5,5,2020
"Sarah Cohen","12348055",1652,555,277.5,4,2020
"Sarah Cohen","12348055",1097,372,186,3,2020
"Sarah Cohen","12348055",725,425,212.5,2,2020
"Sarah Cohen","12348055",300,300,150,1,2020
"Sarah Brown","12348054",29183,492,246,8,2025
"Sarah Brown","12348054",28691,366,183,7,2025
"Sarah Brown","12348054",28325,397,198.5,6,2025
"Sarah Brown","12348054",27928,372,186,5,2025
"Sarah Brown","12348054",27556,415,207.5,4,2025
"Sarah Brown","12348054",27141,392,196,3,2025
"Sarah Brown","12348054",26749,378,189,2,2025
"Sarah Brown","12348054",26371,462,231,1,2025
"Sarah Brown","12348054",25909,418,209,12,2024
"Sarah Brown","12348054",25491,514,257,11,2024
"Sarah Brown","12348054",24977,600,300,10,2024
"Sarah Brown","12348054",24377,484,242,9,2024
"Sarah Brown","12348054",23893,595,297.5,8,2024
"Sarah Brown","12348054",23298,336,168,7,2024
"Sarah Brown","12348054",22962,302,151,6,2024
"Sarah Brown","12348054",22660,306,153,5,2024
"Sarah Brown","12348054",22354,589,294.5,4,2024
"Sarah Brown","12348054",21765,362,181,3,2024
"Sarah Brown","12348054",21403,414,207,2,2024
"Sarah Brown","12348054",20989,441,220.5,1,2024
"Sarah Brown","12348054",20548,481,240.5,12,2023
"Sarah Brown","12348054",20067,548,274,11,2023
"Sarah Brown","12348054",19519,404,202,10,2023
"Sarah Brown","12348054",19115,584,292,9,2023
"Sarah Brown","12348054",18531,509,254.5,8,2023
"Sarah Brown","12348054",18022,492,246,7,2023
"Sarah Brown","12348054",17530,496,248,6,2023
"Sarah Brown","12348054",17034,377,188.5,5,2023
"Sarah Brown","12348054",16657,307,153.5,4,2023
"Sarah Brown","12348054",16350,343,171.5,3,2023
"Sarah Brown","12348054",16007,499,249.5,2,2023
"Sarah Brown","12348054",15508,416,208,1,2023
"Sarah Brown","12348054",15092,366,183,12,2022
"Sarah Brown","12348054",14726,401,200.5,11,2022
"Sarah Brown","12348054",14325,456,228,10,2022
"Sarah Brown","12348054",13869,522,261,9,2022
"Sarah Brown","12348054",13347,499,249.5,8,2022
"Sarah Brown","12348054",12848,339,169.5,7,2022
"Sarah Brown","12348054",12509,379,189.5,6,2022
"Sarah Brown","12348054",12130,382,191,5,2022
"Sarah Brown","12348054",11748,489,244.5,4,2022
"Sarah Brown","12348054",11259,420,210,3,2022
"Sarah Brown","12348054",10839,456,228,2,2022
"Sarah Brown","12348054",10383,425,212.5,1,2022
"Sarah Brown","12348054",9958,340,170,12,2021
"Sarah Brown","12348054",9618,367,183.5,11,2021
"Sarah Brown","12348054",9251,387,193.5,10,2021
"Sarah Brown","12348054",8864,350,175,9,2021
"Sarah Brown","12348054",8514,569,284.5,8,2021
"Sarah Brown","12348054",7945,410,205,7,2021
"Sarah Brown","12348054",7535,384,192,6,2021
"Sarah Brown","12348054",7151,554,277,5,2021
"Sarah Brown","12348054",6597,459,229.5,4,2021
"Sarah Brown","12348054",6138,319,159.5,3,2021
"Sarah Brown","12348054",5819,394,197,2,2021
"Sarah Brown","12348054",5425,503,251.5,1,2021
"Sarah Brown","12348054",4922,514,257,12,2020
"Sarah Brown","12348054",4408,594,297,11,2020
"Sarah Brown","12348054",3814,309,154.5,10,2020
"Sarah Brown","12348054",3505,440,220,9,2020
"Sarah Brown","12348054",3065,348,174,8,2020
"Sarah Brown","12348054",2717,353,176.5,7,2020
"Sarah Brown","12348054",2364,370,185,6,2020
"Sarah Brown","12348054",1994,464,232,5,2020
"Sarah Brown","12348054",1530,365,182.5,4,2020
"Sarah Brown","12348054",1165,335,167.5,3,2020
"Sarah Brown","12348054",830,530,265,2,2020
"Sarah Brown","12348054",300,300,150,1,2020
"Sarah Brady","12348053",29546,505,252.5,8,2025
"Sarah Brady","12348053",29041,330,165,7,2025
"Sarah Brady","12348053",28711,439,219.5,6,2025
"Sarah Brady","12348053",28272,369,184.5,5,2025
"Sarah Brady","12348053",27903,368,184,4,2025
"Sarah Brady","12348053",27535,349,174.5,3,2025
"Sarah Brady","12348053",27186,414,207,2,2025
"Sarah Brady","12348053",26772,570,285,1,2025
"Sarah Brady","12348053",26202,304,152,12,2024
"Sarah Brady","12348053",25898,539,269.5,11,2024
"Sarah Brady","12348053",25359,313,156.5,10,2024
"Sarah Brady","12348053",25046,318,159,9,2024
"Sarah Brady","12348053",24728,488,244,8,2024
"Sarah Brady","12348053",24240,336,168,7,2024
"Sarah Brady","12348053",23904,306,153,6,2024
"Sarah Brady","12348053",23598,364,182,5,2024
"Sarah Brady","12348053",23234,534,267,4,2024
"Sarah Brady","12348053",22700,492,246,3,2024
"Sarah Brady","12348053",22208,388,194,2,2024
"Sarah Brady","12348053",21820,344,172,1,2024
"Sarah Brady","12348053",21476,413,206.5,12,2023
"Sarah Brady","12348053",21063,496,248,11,2023
"Sarah Brady","12348053",20567,413,206.5,10,2023
"Sarah Brady","12348053",20154,451,225.5,9,2023
"Sarah Brady","12348053",19703,394,197,8,2023
"Sarah Brady","12348053",19309,434,217,7,2023
"Sarah Brady","12348053",18875,487,243.5,6,2023
"Sarah Brady","12348053",18388,498,249,5,2023
"Sarah Brady","12348053",17890,433,216.5,4,2023
"Sarah Brady","12348053",17457,469,234.5,3,2023
"Sarah Brady","12348053",16988,447,223.5,2,2023
"Sarah Brady","12348053",16541,497,248.5,1,2023
"Sarah Brady","12348053",16044,319,159.5,12,2022
"Sarah Brady","12348053",15725,571,285.5,11,2022
"Sarah Brady","12348053",15154,563,281.5,10,2022
"Sarah Brady","12348053",14591,310,155,9,2022
"Sarah Brady","12348053",14281,572,286,8,2022
"Sarah Brady","12348053",13709,560,280,7,2022
"Sarah Brady","12348053",13149,566,283,6,2022
"Sarah Brady","12348053",12583,312,156,5,2022
"Sarah Brady","12348053",12271,525,262.5,4,2022
"Sarah Brady","12348053",11746,371,185.5,3,2022
"Sarah Brady","12348053",11375,413,206.5,2,2022
"Sarah Brady","12348053",10962,462,231,1,2022
"Sarah Brady","12348053",10500,324,162,12,2021
"Sarah Brady","12348053",10176,349,174.5,11,2021
"Sarah Brady","12348053",9827,422,211,10,2021
"Sarah Brady","12348053",9405,406,203,9,2021
"Sarah Brady","12348053",8999,312,156,8,2021
"Sarah Brady","12348053",8687,556,278,7,2021
"Sarah Brady","12348053",8131,411,205.5,6,2021
"Sarah Brady","12348053",7720,484,242,5,2021
"Sarah Brady","12348053",7236,570,285,4,2021
"Sarah Brady","12348053",6666,418,209,3,2021
"Sarah Brady","12348053",6248,490,245,2,2021
"Sarah Brady","12348053",5758,587,293.5,1,2021
"Sarah Brady","12348053",5171,479,239.5,12,2020
"Sarah Brady","12348053",4692,357,178.5,11,2020
"Sarah Brady","12348053",4335,309,154.5,10,2020
"Sarah Brady","12348053",4026,314,157,9,2020
"Sarah Brady","12348053",3712,554,277,8,2020
"Sarah Brady","12348053",3158,482,241,7,2020
